Translation Key,dila-ai-markup-bk.js,dila-ai-markup-enhanced.js,dila-ai-markup-legacy.js,Java Files
action.ai.markup.selected,✓,✓,✓,✓
action.tag.removal.selected,✓,✓,✓,✓
actions.menu,✓,✓,✓,
ai.markup.action,✓,✓,✓,
api.key.label,,,,✓
button.cancel,✓,✓,✓,✓
button.convert,✓,✓,✓,
button.replace,,,,✓
button.transfer.utf8,,,,✓
dialog.directories.files.selection,,,,✓
error.accessing.editor,,,,✓
error.checking.utf8,,,,✓
error.converting.files,,,,✓
error.no.APIKey,,,,✓
error.no.parse.model,,,,✓
error.processing.ai.markup,,,,✓
error.replacing.text,✓,✓,✓,✓
ft.detect.model.label,,,,✓
ft.parse.model.label,,,,✓
initial.info,✓,✓,✓,✓
llm.error,✓,✓,✓,✓
menu.actions,,,,✓
menu.options,,,,✓
menu.tools,✓,✓,✓,✓
menu.tools.utf8.check,✓,✓,✓,
menuItem.ai.markup,,,,✓
menuItem.preferences,,,,✓
menuItem.tag.removal,,,,✓
menuItem.utf8.check.convert,,,,✓
more.files.to.convert,,,,✓
no.editor.open,✓,✓,✓,✓
no.files.to.convert,,,,✓
no.text.selected,✓,✓,✓,✓
no.text.to.replace,✓,✓,✓,✓
not.text.mode,✓,✓,✓,✓
preferences.action,✓,✓,✓,
preferences.page.title,,,,✓
replace.button,✓,✓,✓,
selected.text,,,,✓
selected.text.label,✓,✓,✓,
system.prompt.ai.markup,✓,✓,✓,✓
tag.removal.action,✓,✓,✓,
text.editor.not.open,✓,✓,✓,
text.mode.not.active.for.replace,✓,✓,✓,
text.replaced,✓,✓,✓,✓
text.with.length,,,,✓
utf8.Converting,,,,✓
utf8.all.valid,,,,✓
utf8.check.all.valid,✓,✓,✓,
utf8.check.cancelled,✓,,,
utf8.check.dialog.title,✓,✓,✓,
utf8.check.found.non.utf8,,✓,✓,
utf8.check.more.files,✓,✓,✓,
utf8.check.no.files.selected,✓,,,
utf8.check.select.encoding,✓,✓,✓,
utf8.check.select.files,✓,✓,✓,
utf8.conversion.backing.up,✓,✓,✓,
utf8.conversion.backup.note,✓,✓,✓,
utf8.conversion.cancelled,✓,✓,✓,✓
utf8.conversion.completed,,,,✓
utf8.conversion.error,✓,✓,✓,
utf8.conversion.fail.count,✓,✓,✓,
utf8.conversion.failed,✓,✓,✓,
utf8.conversion.started,✓,✓,✓,
utf8.conversion.success,✓,✓,✓,
utf8.conversion.success.count,✓,✓,✓,
utf8.conversion.summary,✓,✓,✓,✓
utf8.non.utf8.found,,,,✓
utf8.scanning.files,✓,✓,✓,✓
view.title,✓,✓,✓,✓
--- MISSING KEYS (Not in translation.xml) ---,,,,
actions.menu-bk+enhanced+legacy,❌,❌,❌,
ai.markup.action-bk+enhanced+legacy,❌,❌,❌,
button.convert-bk+enhanced+legacy,❌,❌,❌,
menu.tools.utf8.check-bk+enhanced+legacy,❌,❌,❌,
preferences.action-bk+enhanced+legacy,❌,❌,❌,
preferences.page.title-java,,,,❌
replace.button-bk+enhanced+legacy,❌,❌,❌,
selected.text.label-bk+enhanced+legacy,❌,❌,❌,
tag.removal.action-bk+enhanced+legacy,❌,❌,❌,
text.editor.not.open-bk+enhanced+legacy,❌,❌,❌,
text.mode.not.active.for.replace-bk+enhanced+legacy,❌,❌,❌,
utf8.check.dialog.title-bk+enhanced+legacy,❌,❌,❌,
utf8.check.no.files.selected-bk,❌,,,
